Artist;Track;Album;Album_type;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_min;Title;Channel;Views;Likes;Comments;Licensed;official_video;Stream;EnergyLiveness;most_playedon
Gorillaz;Feel Good Inc.;Demon Days;album;818;705;-6679;177;836;233;613;772;138559;37.106.666.666.666.600;Gorillaz - Feel Good Inc. (Official Video);Gorillaz;693555221.0;6220896.0;169907.0;TRUE;TRUE;1040234854.0;11.500.815.660.685.100;Spotify
Gorillaz;Rhinestone Eyes;Plastic Beach;album;676;703;-5815;302;869;687;463;852;92761;33.362.166.666.666.600;Gorillaz - Rhinestone Eyes [Storyboard Film] (Official Music Video);Gorillaz;72011645.0;1079128.0;31003.0;TRUE;TRUE;310083733.0;15.183.585.313.174.900;Spotify
Gorillaz;New Gold (feat. Tame Impala and Bootie Brown);New Gold (feat. Tame Impala and Bootie Brown);single;695;923;-3.93;522;425;469;116;551;108014;35.858.333.333.333.300;Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser);Gorillaz;8435055.0;282142.0;7399.0;TRUE;TRUE;63063467.0;7.956.896.551.724.130;Spotify
Gorillaz;On Melancholy Hill;Plastic Beach;album;689;739;-5.81;26;1.51e-05;509;64;578;120423;38.977.833.333.333.300;Gorillaz - On Melancholy Hill (Official Video);Gorillaz;211754952.0;1788577.0;55229.0;TRUE;TRUE;434663559.0;11.546.875;Spotify
Gorillaz;Clint Eastwood;Gorillaz;album;663;694;-8627;171;253;0.0;698;525;167953;5682;Gorillaz - Clint Eastwood (Official Video);Gorillaz;618480958.0;6197318.0;155930.0;TRUE;TRUE;617259738.0;994.269.340.974.212;Youtube
Gorillaz;DARE;Demon Days;album;0.76;891;-5852;372;229;869;298;966;120264;4.083.333.333.333.330;Gorillaz - DARE (Official Video);Gorillaz;259021161.0;1844658.0;72008.0;TRUE;TRUE;323850327.0;29.899.328.859.060.400;Spotify
Gorillaz;New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix;New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix];single;716;897;-7185;629;12;262;325;358;127.03;45.690.333.333.333.300;Gorillaz - New Gold ft. Tame Impala, Bootie Brown (Dom Dolla Remix) (Official Live Video);Dom Dolla;451996.0;11686.0;241.0;FALSE;TRUE;10666154.0;2.76;Spotify
Gorillaz;She's My Collar (feat. Kali Uchis);Humanz (Deluxe);album;726;815;-5886;313;799;81;112;462;140158;34.926.666.666.666.600;Gorillaz - She's My Collar [HQ];SalvaMu�ox;1010982.0;17675.0;260.0;FALSE;FALSE;159605929.0;72.767.857.142.857.100;Spotify
Gorillaz;Cracker Island (feat. Thundercat);Cracker Island (feat. Thundercat);single;741;913;-3.34;465;343;103;325;643;120012;3.5625;Gorillaz - Cracker Island ft. Thundercat (Official Video);Gorillaz;24459820.0;739527.0;20296.0;TRUE;TRUE;42671901.0;2.809.230.769.230.760;Spotify
Gorillaz;Dirty Harry;Demon Days;album;625;877;-7176;162;315;811;672;865;192296;38.404.333.333.333.300;Gorillaz - Dirty Harry (Official Video);Gorillaz;154761056.0;1386920.0;39240.0;TRUE;TRUE;191074713.0;13.050.595.238.095.200;Spotify
Red Hot Chili Peppers;Californication;Californication (Deluxe Edition);album;592;767;-2788;27;21;165;127;328;96483;549.555;Red Hot Chili Peppers - Californication (Official Music Video) [HD UPGRADE];Red Hot Chili Peppers;1018811259.0;4394471.0;121452.0;TRUE;TRUE;1055738398.0;6.039.370.078.740.150;Spotify
Red Hot Chili Peppers;Under the Bridge;Blood Sugar Sex Magik (Deluxe Edition);album;559;345;-13496;459;576;105;141;458;84581;4.405.116.666.666.660;Red Hot Chili Peppers - Under The Bridge [Official Music Video];Red Hot Chili Peppers;246687714.0;1213572.0;32761.0;TRUE;TRUE;1061750522.0;24.468.085.106.382.900;Spotify
Red Hot Chili Peppers;Can't Stop;By the Way (Deluxe Edition);album;618;938;-3442;456;179;0.0;167;875;91455;4.483.333.333.333.330;Red Hot Chili Peppers - Can't Stop [Official Music Video];Red Hot Chili Peppers;336635759.0;1740224.0;32573.0;TRUE;TRUE;866464951.0;5.616.766.467.065.860;Spotify
Red Hot Chili Peppers;Scar Tissue;Californication (Deluxe Edition);album;595;717;-4803;295;779;274;108;547;88969;359.845;Red Hot Chili Peppers - Scar Tissue [Official Music Video];Red Hot Chili Peppers;435121530.0;1890900.0;37069.0;TRUE;TRUE;613838674.0;6.638.888.888.888.880;Spotify
Red Hot Chili Peppers;Otherside;Californication (Deluxe Edition);album;458;795;-3265;574;316;202;756;513;123229;4.256.216.666.666.660;Red Hot Chili Peppers - Otherside [Official Music Video];Red Hot Chili Peppers;673528656.0;3140356.0;60091.0;TRUE;TRUE;732774515.0;10.515.873.015.873.000;Spotify
Red Hot Chili Peppers;Snow (Hey Oh);Stadium Arcadium;album;427;0.9;-3674;499;116;1.75e-05;119;599;104655;55.777.833.333.333.300;Red Hot Chili Peppers - Snow (Hey Oh) (Official Music Video);Red Hot Chili Peppers;320871237.0;1272266.0;37004.0;TRUE;TRUE;860722316.0;7.563.025.210.084.030;Spotify
Red Hot Chili Peppers;Dani California;Stadium Arcadium;album;556;913;-2.36;437;193;8.59e-06;346;0.73;96184;47.026.666.666.666.600;Red Hot Chili Peppers - Dani California [Official Music Video];Red Hot Chili Peppers;324228662.0;1456622.0;49461.0;TRUE;TRUE;550067391.0;26.387.283.236.994.200;Spotify
Red Hot Chili Peppers;By the Way;By the Way (Deluxe Edition);album;451;0.97;-4938;107;264;355;102;198;122444;361.555;Red Hot Chili Peppers - By The Way [Official Music Video];Red Hot Chili Peppers;179005296.0;784717.0;20084.0;TRUE;TRUE;367485508.0;9.509.803.921.568.620;Spotify
Red Hot Chili Peppers;Give It Away;Blood Sugar Sex Magik (Deluxe Edition);album;666;936;-9919;476;244;86;153;776;91577;4.715.116.666.666.660;Red Hot Chili Peppers - Give It Away [Official Music Video];Red Hot Chili Peppers;86637926.0;434837.0;16029.0;TRUE;TRUE;301947159.0;611.764.705.882.353;Spotify
Red Hot Chili Peppers;Dark Necessities;The Getaway;album;0.7;742;-6777;716;722;199;0.11;197;91959;5.033.333.333.333.330;Red Hot Chili Peppers - Dark Necessities [Official Music Video];Red Hot Chili Peppers;440037964.0;2094182.0;56516.0;TRUE;TRUE;385677873.0;6.745.454.545.454.540;Youtube
50 Cent;In Da Club;Get Rich Or Die Tryin';album;902;0.72;-2776;347;0.26;0.0;749;805;90059;322.445;50 Cent - In Da Club (Official Music Video);50CentVEVO;1682616458.0;10481678.0;296745.0;TRUE;TRUE;1041736808.0;9.612.817.089.452.600;Youtube
50 Cent;Candy Shop;The Massacre;album;614;574;-7961;466;253;3.2e-05;0.38;755;125173;3.485.116.666.666.660;50 Cent - Candy Shop (Official Music Video) ft. Olivia;50CentVEVO;838974650.0;5014527.0;113251.0;TRUE;TRUE;701248893.0;15.105.263.157.894.700;Youtube
50 Cent;Just A Lil Bit;The Massacre;album;489;692;-6672;0.41;322;608;315;527;96946;39.617.833.333.333.300;50 Cent - Just A Lil Bit;50CentVEVO;476133463.0;2523312.0;42075.0;TRUE;TRUE;395155110.0;21.968.253.968.253.900;Youtube
50 Cent;P.I.M.P.;Get Rich Or Die Tryin';album;0.7;758;-3012;342;444;1.3e-05;401;889;78693;4.157.783.333.333.330;50 Cent - P.I.M.P. (Snoop Dogg Remix) ft. Snoop Dogg, G-Unit;50CentVEVO;572659065.0;3334710.0;60552.0;TRUE;TRUE;541728561.0;1.890.274.314.214.460;Youtube
50 Cent;Many Men (Wish Death);Get Rich Or Die Tryin';album;653;826;-2.93;354;153;146;131;416;108.52;427.045;50 Cent - Many Men (Wish Death) (Dirty Version);50CentVEVO;441155628.0;2765887.0;84117.0;TRUE;TRUE;332175400.0;6.305.343.511.450.380;Youtube
50 Cent;Disco Inferno;The Massacre;album;925;659;-4763;231;206;7.88e-05;279;0.71;97018;357.045;50 Cent - Disco Inferno (Official Music Video);50CentVEVO;39825951.0;382791.0;12038.0;TRUE;TRUE;202477187.0;23.620.071.684.587.800;Spotify
