Artist;Track;Album;Album_type;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Liveness;Valence;Tempo;Duration_min;Title;Channel;Views;Likes;Comments;Licensed;official_video;Stream;EnergyLiveness;most_playedon;;;
Gorillaz;Feel Good Inc.;Demon Days;album;818;705;-6679;177;0.00836;0.00233;613;772;138559;3.7106666666666666;Gorillaz - Feel Good Inc. (Official Video);Gorillaz;693555221.0;6220896.0;169907.0;True;True;1040234854.0;1.1500815660685155;Spotify;;;
Gorillaz;Rhinestone Eyes;Plastic Beach;album;676;703;-5815;0.0302;0.0869;0.000687;0.0463;852;92761;3.3362166666666666;Gorillaz - Rhinestone Eyes [Storyboard Film] (Official Music Video);Gorillaz;72011645.0;1079128.0;31003.0;True;True;310083733.0;15.183585313174945;Spotify;;;
Gorillaz;New Gold (feat. Tame Impala and Bootie Brown);New Gold (feat. Tame Impala and Bootie Brown);single;695;923;-3.93;0.0522;0.0425;0.0469;116;551;108014;3.5858333333333334;Gorillaz - New Gold ft. Tame Impala & Bootie Brown (Official Visualiser);Gorillaz;8435055.0;282142.0;7399.0;True;True;63063467.0;7.956896551724138;Spotify;;;
Gorillaz;On Melancholy Hill;Plastic Beach;album;689;739;-5.81;26;1.51e-05;509;64;578;120423;3.8977833333333334;Gorillaz - On Melancholy Hill (Official Video);Gorillaz;211754952.0;1788577.0;55229.0;True;True;434663559.0;11.546875;Spotify;;;
Gorillaz;Clint Eastwood;Gorillaz;album;663;694;-8627;171;0.0253;0.0;0.0698;525;167953;5682;Gorillaz - Clint Eastwood (Official Video);Gorillaz;618480958.0;6197318.0;155930.0;True;True;617259738.0;9.94269340974212;Youtube;;;
Gorillaz;DARE;Demon Days;album;0.76;891;-5852;0.0372;0.0229;0.0869;298;966;120264;4.083333333333333;Gorillaz - DARE (Official Video);Gorillaz;259021161.0;1844658.0;72008.0;True;True;323850327.0;2.9899328859060406;Spotify;;;
Gorillaz;New Gold (feat. Tame Impala and Bootie Brown) - Dom Dolla Remix;New Gold (feat. Tame Impala and Bootie Brown) [Dom Dolla Remix];single;716;897;-7185;0.0629;12;262;325;358;127.03;4.5690333333333335;Gorillaz - New Gold ft. Tame Impala, Bootie Brown (Dom Dolla Remix) (Official Live Video);Dom Dolla;451996.0;11686.0;241.0;False;True;10666154.0;2.76;Spotify;;;
Gorillaz;She's My Collar (feat. Kali Uchis);Humanz (Deluxe);album;726;815;-5886;0.0313;0.00799;81;112;462;140158;3.4926666666666666;Gorillaz - She's My Collar [HQ];SalvaMu�ox;1010982.0;17675.0;260.0;False;False;159605929.0;7.2767857142857135;Spotify;;;
Gorillaz;Cracker Island (feat. Thundercat);Cracker Island (feat. Thundercat);single;741;913;-3.34;0.0465;0.00343;103;325;643;120012;3.5625;Gorillaz - Cracker Island ft. Thundercat (Official Video);Gorillaz;24459820.0;739527.0;20296.0;True;True;42671901.0;2.809230769230769;Spotify;;;
Gorillaz;Dirty Harry;Demon Days;album;625;877;-7176;162;0.0315;0.0811;672;865;192296;3.8404333333333334;Gorillaz - Dirty Harry (Official Video);Gorillaz;154761056.0;1386920.0;39240.0;True;True;191074713.0;1.3050595238095237;Spotify;;;
